"","plot","zone","sp","n0","n1","nS","t","p","m","r"
"1","Bunazaka","Temperate","ブナ",126,165,114,22,1.22574348613228,0.454924811622648,1.68066829775493
"2","Bunazaka","Temperate","ホオノキ",72,71,64,22,-0.0635738271579084,0.535377434801743,0.471803607643834
"3","Bunazaka","Temperate","スギ",116,100,99,22,-0.674636386901242,0.720319731689885,0.0456833447886432
"4","Bunazaka","Temperate","ハウチワカエデ",17,34,16,22,3.15066900254521,0.275566462801977,3.42623546534718
"5","Bunazaka","Temperate","キハダ",11,6,6,22,-2.75516274350143,2.75516274350143,0
"6","Bunazaka","Temperate","ウワミズザクラ",63,51,46,22,-0.960495880305486,1.42951513592017,0.469019255614685
"7","Bunazaka","Temperate","ヤマモミジ",9,23,9,22,4.26486199360423,0,4.26486199360423
"8","Bunazaka","Temperate","コシアブラ",3,1,1,22,-4.99369222121868,4.99369222121868,0
"9","Bunazaka","Temperate","ウリハダカエデ",20,12,4,22,-2.32193465348178,7.31562687470046,4.99369222121868
"10","Bunazaka","Temperate","ミズキ",3,0,0,22,-Inf,Inf,NA
"11","Bunazaka","Temperate","ミズナラ",5,3,3,22,-2.32193465348178,2.32193465348178,0
"12","Bunazaka","Temperate","イタヤカエデ",2,2,2,22,0,0,0
"13","Bunazaka","Temperate","ハリギリ",2,1,0,22,-3.15066900254521,Inf,Inf
"14","Bunazaka","Temperate","トチノキ",4,4,2,22,0,3.15066900254521,3.15066900254521
"15","Bunazaka","Temperate","シナノキ",1,0,0,22,-Inf,Inf,NA
"16","Bunazaka","Temperate","ウダイカンバ",2,2,2,22,0,0,0
"17","Kaminokodaira","Temperate","スギ",206,216,176,24,0.197509328727433,0.655800723964289,0.853310052691722
"18","Kaminokodaira","Ecotone","クロベ",16,16,12,24,0,1.19867530188242,1.19867530188242
"19","Kaminokodaira","Temperate","コシアブラ",1,4,1,24,5.77622650466621,0,5.77622650466621
"20","Kaminokodaira","Ecotone","キタゴヨウ",65,59,57,24,-0.403540941624657,0.547233341921196,0.143692400296539
"21","Kaminokodaira","Temperate","ハウチワカエデ",4,23,4,24,7.28833272837191,0,7.28833272837191
"22","Kaminokodaira","Temperate","シナノキ",1,1,1,24,0,0,0
"23","Kaminokodaira","Temperate","ブナ",81,91,65,24,0.485043132685047,0.91692451990334,1.40196765258839
"24","Kaminokodaira","Temperate","ミズナラ",20,32,15,24,1.95834845519057,1.19867530188242,3.15702375707299
"25","Kaminokodaira","Subarctic","オオシラビソ",30,17,15,24,-2.36660015669141,2.88811325233311,0.521513095641692
"26","Kaminokodaira","Temperate","ケヤマハンノキ",4,4,3,24,0,1.19867530188242,1.19867530188242
"27","Kaminokodaira","Subarctic","コメツガ",2,2,2,24,0,0,0
"28","Kaminokodaira","Subarctic","ダケカンバ",2,2,2,24,0,0,0
"29","Kaminokodaira","Ecotone","ネコシデ",16,38,15,24,3.60415598952752,0.26891050473988,3.8730664942674
"30","Kaminokodaira","Temperate","アオダモ",0,0,0,24,NA,NA,NA
"31","Kaminokodaira","Temperate","ウワミズザクラ",1,3,1,24,4.57755120278379,0,4.57755120278379
"32","Matsuotoge","Subarctic","オオシラビソ",164,148,137,24,-0.427725641917014,0.74952292498364,0.321797283066626
"33","Matsuotoge","Subarctic","ダケカンバ",8,11,6,24,1.32689054632723,1.19867530188242,2.52556584820965
"34","Kagamiishi","Subarctic","オオシラビソ",129,157,110,23,0.854058265159286,0.692747993779373,1.54680625893866
