"","id","spj","sp","form","zone","sp_full"
"1",8819,"アオダモ","Fraxinus lanuginosa","bl","Temperate","Fraxinus lanuginosa Koidz. f. serrata (Nakai) Murata"
"2",7485,"ウリハダカエデ","Acer rufinerve","bl","Temperate","Acer rufinerve Sieb. et Zucc."
"3",5541,"ウワミズザクラ","Prunus grayana","bl","Temperate","Prunus grayana Maxim."
"4",7622,"キハダ","Phellodendron amurense","bl","Temperate","Phellodendron amurense Ruprect"
"5",7776,"コシアブラ","Acanthopanax sciadophylloides","bl","Temperate","Acanthopanax sciadophylloides Franch. et Savat."
"6",1463,"スギ","Cryptomeria japonica","cl","Temperate","Cryptomeria japonica (L. fil.) D. Don"
"7",7406,"トチノキ","Aesculus turbinata","bl","Temperate","Aesculus turbinata Blume"
"8",7438,"ハウチワカエデ","Acer japonicum","bl","Temperate","Acer japonicum Thunb."
"9",2586,"ブナ","Fagus crenata","bl","Temperate","Fagus crenata Blume"
"10",1513,"ホオノキ","Magnolia obovata","bl","Temperate","Magnolia obovata Thunb."
"11",6870,"ミズキ","Cornus controversa","bl","Temperate","Cornus controversa Hemsley"
"12",2617,"ミズナラ","Quercus crispula","bl","Temperate","Quercus crispula Blume"
"13",7415,"ヤマモミジ","Acer amoenum","bl","Temperate","Acer amoenum Carr. var. matsumurae (Koidz.) Ogata"
"14",7445,"イタヤカエデ","Acer mono","bl","Temperate","Acer mono Maxim. subsp. marmoratum (Nicholson) Kitamura"
"15",2726,"ウダイカンバ","Betula maximowicziana","bl","Temperate","Betula maximowicziana Regel"
"16",3586,"シナノキ","Tilia japonica","bl","Temperate","Tilia japonica (Miq.) Simonkai"
"17",5850,"ナナカマド","Sorbus americana","bs","Temperate","Sorbus americana Marsh. subsp. japonica (Maxim.) Kitamura var. rufo-ferruginea (C. K. Schneid.) Kitamura"
"18",7805,"ハリギリ","Kalopanax pictus","bl","Temperate","Kalopanax pictus (Thunb.) Nakai"
"19",7440,"コミネカエデ","Acer micranthum","bs","Temperate","Acer micranthum Sieb. et Zucc."
"20",1521,"タムシバ","Magnolia salicifolia","bs","Temperate","Magnolia salicifolia (Sieb. et Zucc.) Maxim."
"21",4371,"リョウブ","Clethra barbinervis","bl","Temperate","Clethra barbinervis Sieb. et Zucc."
"22",9613,"オオカメノキ","Viburnum furcatum","bs","Temperate","Viburnum furcatum Blume ex Maxim."
"23",1197,"オオシラビソ","Abies mariesii","cl","Subarctic","Abies mariesii Masters"
"24",1289,"キタゴヨウ","Pinus parviflora","cl","Ecotone","Pinus parviflora Sieb. et Zucc. var. pentaphylla (Mayr) Henry"
"25",1439,"クロベ","Thuja standishii","cl","Ecotone","Thuja standishii (Gord.) Carr."
"26",2669,"ケヤマハンノキ","Alnus hirsuta","bl","Temperate","Alnus hirsuta (Spach) Rupr."
"27",1319,"コメツガ","Tsuga diversifolia","cl","Temperate","Tsuga diversifolia (Maxim.) Masters"
"28",2709,"ダケカンバ","Betula ermanii","bl","Subarctic","Betula ermanii Cham."
"29",2702,"ネコシデ","Betula corylifolia","bl","Ecotone","Betula corylifolia Regel et Maxim."
"30",2282,"マルバマンサク","Hamamelis japonica","bs","Temperate","Hamamelis japonica Sieb. et Zucc. subsp. obtusata Matsumura"
"31",7493,"ミネカエデ","Acer tschonoskii","bs","Subarctic","Acer tschonoskii Maxim."
"32",7496,"オガラバナ","Acer ukurunduense","bs","Temperate","Acer ukurunduense Trautv. et Meyer"
"33",4098,"オノエヤナギ","Salix sachalinensis","bl","Temperate","Salix sachalinensis Fr. Schmidt"
"34",2663,"ミヤマハンノキ","Alnus crispa","bs","Temperate","Alnus crispa (Aiton) Pursh subsp. maximowiczii (Call.) Hult."
"35",6979,"ツリバナ","Euonymus oxyphyllus","bs","Temperate","Euonymus oxyphyllus Miq."
"36",7527,"ヤマウルシ","Rhus trichocarpa","bs","Temperate","Rhus trichocarpa Miquel"
